Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	G#1	32	64	ON	1,406	180	0	N/A
0,750	1:1:96	D#4	63	64	ON	1,406	180	0	N/A
0,750	1:1:96	B4	71	80	ON	1,406	180	0	N/A
1,500	1:2:0	G#2	44	64	ON	1,406	180	0	N/A
2,250	1:2:96	D#4	63	64	ON	0,594	76	0	N/A
2,250	1:2:96	B4	71	80	ON	0,594	76	0	N/A
3,000	1:3:0	G#3	56	64	ON	1,406	180	0	N/A
3,000	1:3:0	C#4	61	64	ON	0,594	76	0	N/A
3,000	1:3:0	A#4	70	80	ON	0,594	76	0	N/A
3,750	1:3:96	B3	59	64	ON	0,594	76	0	N/A
3,750	1:3:96	G#4	68	80	ON	0,594	76	0	N/A
4,500	2:1:0	D#2	39	64	ON	1,406	180	0	N/A
4,500	2:1:0	B3	59	80	ON	0,594	76	0	N/A
4,500	2:1:0	G#4	68	80	ON	0,594	76	0	N/A
5,250	2:1:96	A#3	58	64	ON	0,594	76	0	N/A
5,250	2:1:96	G4	67	80	ON	0,594	76	0	N/A
6,000	2:2:0	D#3	51	64	ON	1,406	180	0	N/A
6,000	2:2:0	A#3	58	64	ON	0,594	76	0	N/A
6,000	2:2:0	G4	67	80	ON	0,594	76	0	N/A
6,750	2:2:96	B3	59	64	ON	0,594	76	0	N/A
6,750	2:2:96	G#4	68	80	ON	0,594	76	0	N/A
7,500	2:3:0	D#2	39	64	ON	1,406	180	0	N/A
7,500	2:3:0	C#4	61	64	ON	1,406	180	0	N/A
7,500	2:3:0	A#4	70	80	ON	1,406	180	0	N/A
9,000	3:1:0	G#1	32	64	ON	1,195	153	0	N/A
9,750	3:1:96	C#4	61	64	ON	1,406	180	0	N/A
9,750	3:1:96	A#4	70	80	ON	1,406	180	0	N/A
10,500	3:2:0	G#2	44	64	ON	1,195	153	0	N/A
11,250	3:2:96	B3	59	64	ON	1,406	180	0	N/A
11,250	3:2:96	G#4	68	80	ON	1,406	180	0	N/A
12,000	3:3:0	G#3	56	64	ON	1,195	153	0	N/A
