Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	D2	38	64	ON	0,440	76	0	N/A
0,000	1:1:0	D5	74	80	ON	0,440	76	0	N/A
0,556	1:1:96	D3	50	64	ON	0,440	76	0	N/A
0,556	1:1:96	F5	77	80	ON	0,440	76	0	N/A
1,111	1:2:0	F3	53	64	ON	0,440	76	0	N/A
1,111	1:2:0	F5	77	80	ON	0,440	76	0	N/A
1,667	1:2:96	A3	57	64	ON	0,440	76	0	N/A
1,667	1:2:96	E5	76	80	ON	0,440	76	0	N/A
2,222	1:3:0	D4	62	64	ON	1,042	180	0	N/A
2,222	1:3:0	D5	74	80	ON	0,440	76	0	N/A
2,778	1:3:96	C#5	73	80	ON	0,440	76	0	N/A
3,333	2:1:0	D2	38	64	ON	0,440	76	0	N/A
3,333	2:1:0	E5	76	80	ON	1,777	307	0	N/A
3,889	2:1:96	D3	50	64	ON	0,440	76	0	N/A
4,444	2:2:0	F3	53	64	ON	0,440	76	0	N/A
5,000	2:2:96	A3	57	64	ON	0,440	76	0	N/A
5,556	2:3:0	D4	62	64	ON	1,042	180	0	N/A
5,556	2:3:0	D5	74	80	ON	0,885	153	0	N/A
6,667	3:1:0	D2	38	64	ON	0,440	76	0	N/A
6,667	3:1:0	D5	74	80	ON	0,440	76	0	N/A
6,667	3:1:0	F5	77	80	ON	0,440	76	0	N/A
7,222	3:1:96	D3	50	64	ON	0,440	76	0	N/A
7,222	3:1:96	F5	77	80	ON	0,440	76	0	N/A
7,222	3:1:96	A5	81	80	ON	0,440	76	0	N/A
7,778	3:2:0	F3	53	64	ON	0,440	76	0	N/A
7,778	3:2:0	F5	77	80	ON	0,440	76	0	N/A
7,778	3:2:0	A5	81	80	ON	0,440	76	0	N/A
8,333	3:2:96	A3	57	64	ON	0,440	76	0	N/A
8,333	3:2:96	E5	76	80	ON	0,440	76	0	N/A
8,333	3:2:96	G5	79	80	ON	0,440	76	0	N/A
8,889	3:3:0	D4	62	64	ON	1,042	180	0	N/A
8,889	3:3:0	D5	74	80	ON	0,440	76	0	N/A
8,889	3:3:0	F5	77	80	ON	0,440	76	0	N/A
9,444	3:3:96	C#5	73	80	ON	0,440	76	0	N/A
9,444	3:3:96	E5	76	80	ON	0,440	76	0	N/A
10,000	4:1:0	D2	38	64	ON	0,440	76	0	N/A
10,000	4:1:0	E5	76	80	ON	0,556	96	0	N/A
10,000	4:1:0	G5	79	80	ON	0,556	96	0	N/A
